location,vehicle_count,speed,density,congestion_level,timestamp,latitude,longitude
Main Street Junction,145,18.5,92.3,HIGH,2024-01-15 08:15:00,30.9010,75.8573
City Center Crossroads,87,32.1,55.8,MEDIUM,2024-01-15 08:20:00,30.9090,75.8650
Airport Road,23,68.4,14.7,LOW,2024-01-15 08:25:00,30.8850,75.8400
Industrial Zone Gate,112,22.3,78.6,HIGH,2024-01-15 08:30:00,30.8780,75.8700
University Avenue,65,41.2,43.1,MEDIUM,2024-01-15 08:35:00,30.9200,75.8500
Market Square,178,12.4,115.2,HIGH,2024-01-15 08:40:00,30.9150,75.8620
Railway Station Road,94,28.7,61.4,MEDIUM,2024-01-15 08:45:00,30.8950,75.8480
Residential Zone North,15,72.5,9.8,LOW,2024-01-15 08:50:00,30.9300,75.8550
Bus Terminal Approach,134,19.8,87.3,HIGH,2024-01-15 08:55:00,30.9050,75.8720
Hospital Road,42,55.3,27.6,LOW,2024-01-15 09:00:00,30.9120,75.8590
Main Street Junction,98,35.2,63.5,MEDIUM,2024-01-15 11:30:00,30.9010,75.8573
City Center Crossroads,45,61.8,29.2,LOW,2024-01-15 11:35:00,30.9090,75.8650
Airport Road,68,48.3,44.1,MEDIUM,2024-01-15 11:40:00,30.8850,75.8400
Industrial Zone Gate,156,14.2,101.4,HIGH,2024-01-15 17:10:00,30.8780,75.8700
University Avenue,121,21.5,78.9,HIGH,2024-01-15 17:15:00,30.9200,75.8500
Market Square,89,38.4,57.8,MEDIUM,2024-01-15 17:20:00,30.9150,75.8620
Railway Station Road,167,11.3,108.7,HIGH,2024-01-15 17:25:00,30.8950,75.8480
Residential Zone North,34,59.2,22.1,LOW,2024-01-15 17:30:00,30.9300,75.8550
Bus Terminal Approach,78,44.6,50.7,MEDIUM,2024-01-15 17:35:00,30.9050,75.8720
Hospital Road,19,75.8,12.3,LOW,2024-01-15 17:40:00,30.9120,75.8590
